book_id,rating,number_of_likes
9745415,2,91
2306829,2,0
17876,4,52
380563,3,33
88442,2,12
17790459,3,12
419461,1,46
1466595,1,52
23154350,3,50
64492,4,5
21353509,3,94
16085481,4,12
36003629,0,89
6457151,0,10
43663613,0,7
17831616,0,52
837501,2,17
23287179,4,39
1212868,3,78
10833756,3,3
25628116,5,17
23116644,5,33
20342133,4,0
875411,2,77
116526,2,12
116445,5,36
27274328,2,65
235773,2,8
7234801,3,90
414794,4,28
18001399,4,1
967911,1,37
421549,3,27
29486,2,18
25549355,2,83
2708177,5,79
28020254,4,9
287574,2,81
181086,2,10
40102240,5,53
6361563,5,14
18908187,1,0
7249737,2,62
2463578,2,84
17496,4,10
96642,5,73
23122043,1,7
59950,1,14
7278266,2,7
81176,5,43
13368182,2,87
25631442,2,14
1194060,0,37
21825486,3,95
470535,3,99
17863,2,4
13033520,3,31
340745,2,14
1108124,4,8
18333332,0,94
771507,5,72
1640400,2,5
11320138,4,10
8341567,3,3
2003625,1,9
85280,4,55
27310286,1,71
19443032,3,99
23121147,3,36
3768690,5,7
20519005,1,27
161156,5,61
21971543,5,12
8074907,2,18
23013875,2,65
315783,3,69
10925109,4,20
9182478,4,0
11103746,2,41
11782143,4,18
1003985,1,20
6383770,4,8
7993566,2,18
15757270,0,18
25116429,3,8
22873561,2,20
3972,2,85
1124458,5,56
1463131,4,88
137110,2,13
25810606,3,7
759517,0,2
20871425,3,98
35297316,3,44
13982,1,95
14059115,5,57
13553217,5,21
18453074,2,55
29097931,5,2
16068973,2,52
29939027,2,97
43330,1,35
7767021,3,10
7439623,1,95
5266655,1,19
5307483,0,38
244383,1,64
31423216,0,14
36494518,3,93
6657,1,58
39101308,1,2
23552511,3,8
2856157,3,0
13519844,5,11
20809,0,8
7781699,3,1
1819738,3,68
2667891,4,2
17670591,3,2
445593,4,43
12505461,5,9
9708888,4,61
17929950,0,27
39009405,0,93
17027870,0,13
12392681,2,91
7533,1,2
1136604,2,7
12577549,3,28
29075421,3,62
19444805,3,75
15836,1,26
94079,0,12
12710035,5,32
5023782,5,82
24469443,4,69
29628568,5,92
25867265,1,28
131847,4,2
25780234,3,16
23607782,1,8
15815363,1,1
8277734,1,67
16233465,0,53
12323895,0,26
39303,0,14
30037676,4,32
2168882,4,22
16171710,5,1
75060,5,89
16248123,4,11
5554803,4,10
9488435,2,51
8258519,2,0
15760484,3,17
17448097,2,14
12831355,3,10
23265739,1,11
4366431,3,5
553247,2,10
18431,2,88
24382227,4,2
42156,3,52
6575580,0,12
5532725,0,27
17883943,5,16
13644322,5,95
25654630,4,17
64666,5,4
23517731,1,10
828140,4,47
17980013,0,4
18335743,3,11
22838220,2,36
56349,2,54
7286910,5,11
21913812,4,19
6601221,5,79
30733635,2,13
5711852,4,86
116447,0,49
298920,1,34
22296542,5,15
1795615,1,83
1477557,2,34
16005260,0,7
13563261,1,4
46276,2,31
770512,4,72
20256797,2,15
15985214,3,47
8597275,1,46
76909,1,98
23015589,4,42
16043793,4,91
21793687,4,80
8311441,0,86
17205118,4,9
20553451,3,23
41143305,1,30
23110843,0,67
25055959,3,83
2440645,4,47
25190761,1,55
23316548,2,70
18074023,4,14
23128320,5,9
402026,4,63
20757521,0,19
38197839,5,72
22691308,4,70
252429,3,64
2208744,1,7
25813965,1,63
22735684,3,31
25507388,1,11
208,3,2
25810091,1,19
1838917,5,49
31308527,3,13
1320965,4,45
6425725,4,100
24476778,3,5
12384157,3,88
17877304,0,0
15763857,1,53
24346235,2,60
21793687,4,24
18525821,1,10
40929,4,8
16135399,5,98
35386392,5,7
33392239,2,9
958277,5,7
6282010,3,6
570393,4,10
13542990,0,9
18073891,3,76
22820251,5,95
2897990,2,75
107664,0,10
33895090,1,15
169510,1,60
27428131,5,8
10339281,5,18
34964865,0,92
18807577,3,28
8492768,0,38
35939628,5,67
39303,3,16
13722286,4,68
23161872,1,43
10409559,0,7
404857,3,83
18000594,3,32
22016702,1,59
403129,5,8
23453083,4,4
6471374,4,0
20427806,3,14
223394,2,13
11823873,2,6
41149478,5,71
35069067,5,2
40594398,0,93
36283867,1,92
5577995,1,11
11053270,0,2
350678,3,72
33099043,4,20
17164187,2,83
558695,0,10
816748,5,76
6871853,3,12
70420,1,18
15733144,0,80
15838978,2,10
25005951,5,92
9565193,4,73
255127,2,53
2449325,5,81
13260545,0,25
133017,1,13
1134122,2,11
35386392,0,47
26067938,2,13
12406508,3,73
91659,1,54
13432295,2,7
10343868,3,15
77829,2,3
18622245,2,74
23669616,2,81
23494599,0,27
133499,5,1
28481,4,84
10637174,3,35
41153917,0,39
350684,1,13
7210397,3,2
36436246,1,54
16050234,0,15
308581,3,58
10339281,4,51
7869,0,96
20371237,4,70
11214214,5,40
15731244,0,46
364550,1,44
15750787,3,5
16124019,3,8
2708177,0,64
17257772,4,91
161744,5,96
33544895,1,5
23719471,1,3
28094098,5,79
857556,0,31
38896909,4,76
346272,2,20
164862,5,79
13560376,3,71
13238322,1,59
41557322,1,3
5137,2,46
11106249,1,19
25935094,2,4
13508415,3,99
12101419,1,19
7059135,1,55
18757146,1,11
31384635,0,70
19283197,0,12
825889,4,86
25394804,5,12
8698353,5,9
28783749,1,2
302983,0,76
16180723,0,33
7628,5,22
7649307,1,29
161037,4,2
20619926,3,4
26089572,3,4
185197,3,25
17185556,4,13
24133949,1,33
26615962,5,55
788875,1,0
16050050,5,9
1032696,5,36
30971664,3,60
32721063,2,44
8623679,3,29
13431827,0,6
25189169,1,92
401528,3,11
34484,2,28
35540787,5,18
12770990,3,10
36194389,1,3
18509671,4,38
853510,2,13
6882,3,93
3754102,2,12
6936365,2,21
2802316,4,75
499181,0,12
36576036,5,40
25654602,2,0
18258203,3,15
17556227,2,56
2752607,5,86
13633768,0,5
11588966,5,11
31351689,5,52
16069019,1,9
20581108,3,12
539143,3,3
7742,4,12
35618459,1,58
4332027,2,57
13152,4,5
6457151,2,95
9471514,5,74
12970162,3,19
38600870,0,30
449017,5,100
18876895,0,59
8697204,5,37
2086132,2,15
266600,0,7
33955346,4,7
18530135,1,14
423360,3,99
43928,5,17
29939028,5,2
132688,3,56
2267075,2,83
11650,0,63
832816,3,62
5121008,3,3
1051097,1,76
14362,4,19
296384,4,72
12961307,2,1
12204035,4,29
30077437,3,83
10599735,4,25
17413424,4,13
22665364,3,32
13076894,3,44
6359290,2,15
22029246,5,32
17602565,4,96
476103,1,13
32320661,2,12
18126622,5,97
20891547,0,6
12831355,1,20
77318,3,11
25581522,3,16
54209,1,43
12518734,3,60
7507902,4,41
19314428,0,94
9130129,2,91
5489684,5,17
6933135,5,40
690926,0,2
230852,0,36
15731796,5,90
17800850,4,1
25751572,0,24
25451264,1,2
6080751,3,80
32469736,2,18
58816,3,7
36605670,5,61
227636,1,6
23306252,4,56
17974456,4,43
10805543,0,26
10804074,1,19
15831550,2,57
102458,0,52
18126185,3,13
126077,3,0
1003464,5,3
29484541,2,95
36174006,1,36
11749412,0,6
27133251,1,27
1072949,2,74
40766761,5,44
22972067,2,62
25001131,3,44
40739015,1,20
28435457,1,38
18158521,5,44
16056655,2,26
17609114,3,27
20613642,5,6
8271444,5,87
24710163,2,97
315882,5,4
13158635,1,16
13153802,2,40
1303,1,11
7315573,5,6
426825,3,85
15742678,4,27
28091259,2,56
20893339,2,70
10594356,0,4
22848621,4,77
227443,5,29
17027870,2,4
6006098,1,19
218677,2,12
18680136,0,39
27242578,4,19
35921,5,23
18837765,1,0
35649191,2,82
431321,1,4
12046837,5,76
7685251,5,37
22096791,3,81
16039255,0,0
6077455,4,19
27157815,3,0
33946139,0,44
9545064,2,80
18759734,1,57
2526974,4,18
18807408,5,62
7823549,4,86
16006,3,20
602467,1,20
39300155,2,1
13017390,2,53
23207593,3,31
5186,4,41
594099,1,75
12766833,5,62
296570,4,23
24241524,4,13
25409437,1,21
944555,3,3
12022929,3,8
13624139,3,19
24718312,5,17
41014762,5,100
13640108,2,83
17230517,2,38
764003,5,0
22555781,2,4
10473158,0,2
21927701,4,38
16087670,4,91
23460958,1,3
6348484,1,11
825750,3,11
254389,1,72
94486,0,78
77276,4,97
2183067,4,7
36137536,4,83
13049981,1,1
23129712,3,13
23430998,1,80
6575698,5,0
1531610,5,9
24126231,0,11
7519640,0,15
29283087,1,12
25701419,4,6
13069681,3,70
301928,1,66
7635805,2,19
15759307,0,58
23518312,3,99
15990970,4,4
17159076,3,91
13550926,2,25
24585267,2,5
20453431,4,67
115030,2,71
5821978,4,63
27421270,1,15
23607782,0,14
20894026,0,94
680154,3,16
12591896,3,7
43427449,5,1
21462695,1,3
476575,2,15
36117813,3,16
40231428,3,55
32179015,4,4
24704529,1,14
6454183,3,1
20256797,2,15
22205,5,35
20821614,4,15
225774,0,71
206899,4,47
7614267,4,46
15745753,3,45
24890845,4,16
30720860,4,99
17262474,4,3
5886412,4,65
52251,0,13
74862,5,47
11595072,0,4
7124925,1,89
107019,5,85
27971254,3,36
19405702,1,91
18079682,2,10
21897317,3,96
25765680,3,72
2265,2,5
11488123,4,94
5778773,2,9
1933181,3,16
16142151,3,2
71955,0,39
16157294,5,9
6752458,1,56
825828,5,5
23446017,0,8
36809135,3,15
9650,5,9
15774215,4,52
10115,5,49
11834447,2,3
23002593,2,89
30340276,3,48
1206073,3,60
23398824,0,8
6783128,4,31
29877824,5,88
23203977,1,41
17567218,3,100
25760792,5,17
372812,1,71
13422422,1,6
15721638,3,1
21948060,4,92
13265293,4,20
6596845,0,89
319473,3,23
22461120,0,55
15103450,4,5
248482,2,19
6238524,5,17
12813860,0,92
17612258,4,80
977527,1,88
94561,5,13
32848470,2,15
406084,0,9
10809019,1,11
36162,0,9
1094933,3,3
37785963,4,6
18747256,2,16
23097622,4,6
13265572,4,13
23480269,4,73
40493667,5,27
188275,3,47
16162524,3,91
20309341,2,73
14967,1,29
116020,0,18
7157187,3,7
241387,3,68
32841039,5,17
12603783,1,45
405981,1,18
703323,5,74
36362234,1,60
72111,0,1
106134,1,44
18960012,1,69
36353058,0,88
26013033,3,53
42851,2,57
80689,3,8
32508637,0,70
142458,1,10
251052,4,59
7841179,1,8
7488686,2,1
7698349,0,43
18243857,1,22
7945295,4,6
27393815,1,38
9541850,5,40
11768258,0,91
4332082,0,15
12608870,2,12
709381,0,55
836964,2,98
449407,2,21
20559676,4,68
13644017,1,84
12849210,4,36
35506021,0,34
16070903,2,99
179064,2,43
25664459,1,17
15942633,5,10
56140,3,9
630361,2,5
14915175,2,17
6774979,1,9
27399973,4,11
9700137,4,86
997846,5,19
39305,1,41
28223638,5,18
17162,4,91
2887157,1,73
17934459,2,30
10485751,4,91
24721702,1,3
12476366,0,74
616274,1,57
15811560,1,44
116236,2,88
21407010,0,14
18114102,0,49
277397,3,41
257430,3,3
12987423,1,45
21469108,3,6
34437326,2,63
709812,5,11
18812737,4,5
2459785,5,33
2591769,1,3
9449401,2,3
17469800,3,97
13629983,3,3
25809801,5,15
7155145,0,7
37434,1,90
196613,3,49
11588966,5,15
24157347,5,84
35618459,3,60
25507388,1,60
29003460,2,11
722434,5,19
21525995,5,62
93794,1,68
18674369,0,84
23262615,2,3
11344621,2,11
16061340,4,86
6213703,3,14
1297177,4,93
25816447,4,39
12266205,0,22
17882444,4,14
10218,2,83
2039223,2,48
20487530,4,60
15384,2,61
38502331,0,52
22524101,3,5
12088007,0,19
42848671,0,0
11901,4,17
25391336,2,97
9590422,3,95
41145989,3,99
6453549,4,17
18126901,1,58
12899734,5,97
17428643,3,0
18516961,3,58
12321,3,69
36635516,2,11
18667632,3,3
42202638,5,32
13810290,4,60
13078582,3,17
6364663,5,91
18196327,0,64
10429672,5,2
16165879,4,16
5704478,3,75
38737,3,8
697210,0,46
25751572,5,3
33727,2,36
13493936,0,82
2968,3,19
1027978,3,90
19486421,5,22
12651,5,30
36464086,2,1
15834525,4,37
17370750,3,79
13611319,3,14
11371,2,95
37767551,1,24
145565,3,75
13260545,0,26
9808992,5,5
359194,0,89
13047090,5,17
223394,3,92
11566223,5,4
36047860,1,14
25014114,3,57
50750,1,86
32601289,0,18
21423336,2,17
25943005,4,96
1335568,1,14
39101308,0,70
20613642,4,19
10629679,3,72
10186023,4,68
13275639,1,7
6064286,3,4
2274457,2,22
296468,2,80
1967737,1,7
338670,3,20
405981,4,4
139254,4,59
11038479,4,94
24917753,2,24
18685266,2,64
41721680,0,14
38910127,5,96
20757528,0,19
13560376,3,17
26257689,0,16
16340866,5,4
25409437,1,48
20821531,3,68
6324589,5,56
54529,0,3
11205804,5,11
23491637,0,15
6315308,3,59
42849258,2,2
20932008,2,25
9301525,5,98
31387315,2,16
757104,3,12
19106768,1,56
21920584,2,6
11687869,5,7
17465488,2,12
782854,5,14
2802316,1,2
28256831,1,3
40811915,4,1
26820380,4,52
17882444,3,0
24034941,1,56
16125520,1,51
235349,0,47
20605405,2,77
2138727,4,20
299813,1,49
5071312,5,73
15700583,4,43
32600060,5,43
24796481,4,20
18952,5,38
107033,3,10
12966360,2,55
32056290,4,58
76889,1,14
216512,0,86
905755,3,34
15837618,2,89
777635,0,27
18665251,0,69
16304482,2,81
12364931,2,6
12692122,1,71
11512718,0,14
1016600,2,63
20518878,0,9
17159076,5,19
29877824,4,15
825889,3,3
24189224,0,2
30056820,4,64
2039133,4,21
13644052,1,89
18460617,0,16
366427,5,94
12647642,2,9
25294122,2,34
974778,1,67
15808466,0,55
48303,1,71
7986984,0,19
73965,2,40
82434,2,8
28164650,2,60
6951353,2,100
3777732,3,66
24731,0,20
33155325,5,36
2553575,1,91
25888743,0,3
7948706,5,14
764003,2,53
376127,1,7
25313505,2,44
545913,3,36
384355,3,8
17185496,5,95
18007838,4,0
21851882,0,6
7982855,1,20
20573324,4,51
79,3,0
6137724,5,8
18892796,4,84
14750021,3,49
17338329,2,88
821026,3,47
23306252,1,0
770614,4,17
20652804,2,72
18077961,2,90
34939837,0,79
38346446,3,7
18465535,5,10
254316,2,8
696110,5,75
9917945,2,85
6406158,4,81
13069681,0,54
29895106,1,86
18365852,4,38
40881738,2,85
1337751,3,42
30321234,2,20
20651577,1,37
18108903,5,10
25000053,4,15
18528310,2,75
209966,1,14
15768985,5,4
42696,4,77
23597621,4,82
6424007,3,94
17158217,2,11
1616461,1,14
9399336,3,18
1146093,3,18
51877,5,9
12139991,3,63
8500417,5,32
15793184,5,72
13628374,5,79
9327053,0,88
13330370,5,57
19695718,0,19
18637162,0,90
71969,5,3
16006,2,10
4141,3,20
10900053,5,16
1188081,2,79
6609703,1,11
9745113,3,53
15808380,4,17
518518,4,55
176556,0,6
13519964,3,5
12953537,0,14
30212517,0,79
13506481,2,75
16102277,1,90
18478288,0,41
994823,3,7
7286455,5,10
9712492,2,50
24796231,3,17
9708869,1,9
39978663,5,71
32376,0,7
32508637,0,20
3493530,3,52
15704307,5,27
52862,0,92
41432160,5,20
16041169,5,40
193093,1,11
16059057,5,24
8549518,0,85
6609703,2,32
25320,2,41
8074969,0,0
2874897,0,100
34082140,3,16
34178748,1,12
42393834,3,51
22820335,3,68
30236300,2,20
18618572,2,79
25005731,0,58
6540287,2,54
20483084,2,5
18299578,1,13
27421692,4,54
9489,1,1
38332472,3,79
23874411,1,59
20926007,1,67
31299921,5,17
594099,0,2
12394732,0,96
7059135,0,75
6699885,4,13
34057229,2,54
8258519,2,32
17832415,2,15
39334267,1,16
9758587,1,6
12349615,4,90
19082071,4,20
27872890,0,50
648194,2,49
1861535,1,1
27405531,5,20
75220,4,0
385228,0,0
6521368,0,80
4005310,2,83
17262121,5,77
12823636,4,20
6919272,5,41
24689989,2,97
12971662,4,10
40789425,3,4
17568759,0,19
7719355,2,43
34402826,1,73
36214229,4,47
10669,3,17
99315,4,15
3439778,4,20
89840,1,87
17256217,0,9
17167208,0,5
20525909,5,51
40951400,3,4
4203091,5,19
42605684,2,18
958641,0,22
17884619,5,8
35068792,4,19
5997074,5,48
11559063,4,16
4005310,4,2
30508147,3,7
23491637,0,15
816486,4,10
206899,2,0
26545652,4,79
11806716,3,11
13279692,5,20
71955,5,10
30363088,2,88
15790829,4,22
34092885,4,11
30116307,2,13
9785202,5,18
17863817,2,77
394724,4,37
666758,4,5
461104,1,27
3864007,4,9
5997074,3,36
12666460,5,6
12969636,2,47
1865139,4,10
18146387,4,53
80534,0,17
25528808,4,27
13496312,1,19
20940832,0,1
8664368,3,19
30043,1,3
390737,1,37
13497675,4,18
2159,2,19
10583033,1,96
23002906,0,24
17140887,4,94
183126,5,97
18622245,3,18
1073750,0,35
17204899,2,72
20803627,0,18
13034211,0,38
796429,4,4
23483723,1,11
358489,2,42
389627,1,7
29946121,1,68
2493,2,16
16587763,5,10
197084,1,18
18623445,3,34
10587120,2,37
18664754,5,2
29236380,5,11
22465510,4,44
2845024,2,84
9830872,1,27
28820817,1,89
30117381,2,7
23413928,4,12
151755,4,70
40116166,5,68
33418,4,0
2265,0,15
18656002,3,12
23129080,4,55
16409189,4,94
25168166,4,8
42045749,2,15
7853757,4,37
24812,2,5
1765771,0,3
24867318,0,59
40465,3,61
8192675,0,83
35926119,5,50
39729887,0,8
12392657,1,54
195211,2,70
2475251,1,21
18134894,3,3
8728554,0,27
18050861,1,2
9852529,2,10
330524,0,14
6480885,4,9
102287,4,0
10590390,0,66
6420556,0,95
2651779,4,36
17288596,3,90
24804444,4,62
17378071,3,3
111410,4,31
12393223,3,82
29965217,4,72
15706303,1,4
395397,0,18
11556268,2,14
21424692,5,61
5941366,2,39
3284192,0,15
11929939,0,5
23529245,4,5
13422422,0,85
27152124,1,14
28430424,4,0
17924987,1,87
13356825,4,1
5986197,5,0
9645632,4,78
2146957,3,77
33453,4,3
18655445,0,78
5980771,5,28
30166135,3,14
18608266,1,17
29104111,0,59
28912565,3,6
42369059,2,13
6599576,1,5
103111,4,20
40682120,5,85
268437,2,26
22071815,1,2
107019,0,26
77449,1,1
12114440,2,82
15816412,1,22
925,4,22
1051588,5,30
9171404,2,13
22365565,1,11
31193426,3,1
770512,0,25
24731,2,50
7784,3,94
28251002,2,47
9532084,4,20
25354011,2,19
1486138,0,45
15731244,0,20
1337353,5,2
77276,2,19
8419428,0,10
100365,1,100
185289,2,13
409890,5,15
490476,0,13
1178666,4,16
6391309,2,6
15760897,1,3
103294,4,25
12295280,3,14
5778773,5,88
5510384,1,13
411053,2,45
36560993,1,15
23259564,5,11
9724029,3,70
16126022,0,39
7748,1,16
514771,1,18
595911,3,31
11194502,4,41
20837170,1,51
11735983,1,8
15790886,4,20
468116,2,7
39699524,5,10
123843,1,0
16112668,3,17
36635516,4,18
133782,3,18
145984,3,50
11751719,2,10
462658,4,49
6431797,5,75
18714023,0,10
68682,4,14
14967,1,41
118252,3,46
1898882,2,55
23288809,3,10
22875083,1,67
517344,4,12
107777,5,7
10768183,2,48
16146908,2,1
588002,2,48
28496524,1,74
16442,2,14
3805,2,97
18171350,4,30
6055161,4,89
26025172,5,14
17341528,1,72
60322,4,0
16114592,2,27
22037542,0,6
17878717,3,91
18492661,0,5
18007838,0,27
18105451,0,3
7940589,0,10
29749350,5,35
14061957,5,9
27429680,0,47
23460958,2,10
13380932,5,3
3274660,4,72
17786125,3,30
33290344,5,56
23935899,1,90
74769,4,49
14761017,5,83
30079697,3,44
17997560,5,29
21816725,3,14
31213198,1,71
23160974,3,28
17622850,0,90
2449325,2,2
35691529,1,14
9440448,1,30
2856157,4,35
897717,0,14
25943007,3,19
39884755,2,15
18076746,1,20
16225637,1,36
30225,3,82
22714908,5,13
12578077,3,0
35445744,1,36
18442147,1,33
22586926,4,5
8639187,4,58
15954544,4,54
15784300,1,24
18108877,2,14
18430440,2,6
81060,3,20
227729,1,6
18185,1,2
6218001,2,4
17716590,5,20
23342435,2,66
23465642,1,14
6316171,4,10
35805990,0,84
5849,5,7
490980,0,9
820966,3,3
9552271,1,0
17903004,0,42
16077360,0,55
23362210,1,37
15818254,1,16
8149149,5,8
31538647,5,55
353758,0,74
42387698,1,12
16176344,0,12
994697,2,64
17283570,2,57
68380,0,39
1176884,5,7
22028380,0,40
13330444,3,98
27348722,4,22
854764,3,2
36248923,4,16
13383354,4,89
15846870,5,88
9514173,0,11
276972,2,12
21816250,5,39
24356389,4,17
23624944,1,20
36464096,1,70
769443,0,98
18427593,4,71
13412366,2,4
22011010,5,5
16130304,2,13
593151,4,9
31351689,5,18
158770,3,46
9581174,1,19
2771105,0,38
7003187,0,22
13512533,0,11
40172073,0,69
9807301,4,6
29938026,5,38
1194060,1,10
13931214,5,69
7938275,3,99
269795,1,8
556136,2,50
26228282,0,5
10339281,4,59
15984445,2,76
35295478,0,87
26067984,3,23
12796941,5,66
773971,3,94
10481268,5,18
18774964,1,56
17927109,1,68
12204035,2,0
966087,3,15
35274032,0,16
632753,1,38
13602393,5,4
17471114,5,83
23999864,4,15
1059494,3,10
32862047,4,85
316558,4,51
11206,3,19
19450529,0,3
7557790,2,50
14362,3,74
38551054,0,80
30091766,5,87
12999514,4,22
18134013,3,82
11230,3,0
13330603,4,22
46674,5,15
15985402,0,64
14739270,4,66
18500128,4,0
7993566,0,42
182496,0,73
19083223,1,4
13422043,0,29
13597879,4,2
16047,2,11
10187685,1,11
15788244,3,26
26449130,2,6
23944818,1,11
18052849,2,32
18747159,3,59
32056290,2,16
3636,5,100
15714722,3,76
17902151,4,92
19518735,0,10
3081255,1,1
31307650,4,16
19303613,4,13
10987,5,12
1948985,1,86
19264127,4,9
30336955,0,9
680154,0,36
3147367,4,13
111879,3,89
77318,4,16
9399336,1,11
43501985,5,74
17283570,2,42
24514259,0,5
17901475,3,16
20519005,4,68
41224958,3,12
21945190,0,32
18340649,1,27
16277729,4,51
31983,4,95
8262461,1,4
49256,0,11
27971254,5,54
2860451,5,29
49603,5,46
13617298,4,10
17312546,3,7
18131017,0,47
304209,4,66
13260426,3,59
14743629,2,8
17835727,4,18
18514604,1,5
11718466,1,10
5845,3,2
15837618,1,1
88077,4,14
40776163,0,24
42202638,4,64
7795696,5,83
27239071,1,9
479525,0,81
1604003,5,2
15725397,1,16
7354831,2,2
40032681,3,16
18781540,1,10
38911162,0,19
23961798,3,13
24327646,2,18
20363899,3,58
15711397,5,5
17148140,1,93
40530730,1,74
264946,2,10
22668848,0,40
7093114,4,8
944555,1,95
38223311,4,0
6122485,5,72
23552511,4,97
13437279,3,3
1223606,3,5
12279098,2,9
24683240,0,79
25819519,0,1
13043158,5,7
22058103,2,9
17679368,3,3
30977692,1,20
17465488,2,30
40963299,1,12
39797458,2,18
29947711,0,41
31952703,2,19
18697605,1,19
7052533,3,95
13650807,5,98
23389537,4,28
8633938,5,17
8872162,5,14
1087204,0,4
27276316,3,13
12399401,4,73
23590726,5,6
161402,5,54
58094,2,4
30332253,1,45
358846,1,20
10605,1,42
511227,1,55
201111,5,55
2274457,0,66
11249375,5,75
18000197,3,88
25817616,2,99
99664,0,1
41684,4,72
15954544,1,13
17560419,2,5
28240174,5,55
20932008,4,69
32080126,0,18
15982998,5,20
33259384,3,51
639544,0,41
21936660,4,58
40656712,4,77
411701,1,83
18403921,3,87
9737753,5,74
15781723,0,27
490205,0,45
10443756,0,94
1883838,3,33
13088498,5,10
18663321,1,10
9791,4,2
18506999,1,7
9785202,4,0
39353216,3,68
12812539,0,70
193093,0,74
25821750,3,32
13645229,3,13
15756076,5,78
31393676,3,43
468116,4,0
18039963,2,15
174834,0,61
7818683,2,38
74862,1,71
15992880,4,19
11550178,5,99
59263,4,78
40908086,1,4
10552272,1,59
9662937,3,4
22125258,2,72
13356190,5,11
22040598,5,70
19507801,5,12
19208141,5,7
166008,3,93
1091470,4,3
19033968,2,15
6323609,3,41
37809999,2,11
18455357,1,6
19450529,2,1
3567200,1,14
6383770,4,69
154798,2,13
13579126,1,91
16129915,4,17
25125709,4,87
14296788,2,18
24686734,5,3
7492383,4,64
20416950,1,86
22040598,3,25
15768795,5,19
25852870,2,14
15796,1,83
38725300,3,53
23950686,5,7
23281811,0,73
34079578,3,15
411247,4,0
10428708,3,20
6862664,0,9
13191409,5,97
2859559,3,92
198076,0,14
498082,3,63
27169611,4,26
13358275,5,91
28821568,3,0
34687,3,99
15729539,1,61
335459,2,18
25587058,5,35
22372402,5,84
50667,1,16
235111,5,50
38271712,1,6
16142151,5,17
263291,0,100
7494591,4,13
85990,4,0
13275639,2,13
160848,0,15
18769257,1,69
103871,5,49
26052610,0,8
772739,4,67
21489697,3,91
18210070,3,62
176626,3,44
36060068,4,1
24352027,1,52
28496524,3,12
81698,5,13
959166,5,11
13272713,4,59
18076746,2,11
11978094,0,8
23634011,3,8
6088236,4,10
2769831,0,14
24676627,5,22
1920307,1,65
7958702,3,1
29641,1,1
378724,0,3
7199,0,6
15716344,4,11
2556204,2,36
18103481,1,67
15832231,1,13
38529,1,31
5266655,4,8
119239,0,14
12835220,0,34
22585967,1,98
13562109,1,4
13645069,0,78
2145681,0,10
20906692,3,85
36627806,5,1
19165659,5,59
28664920,5,28
16008616,1,66
20820496,4,16
17801958,3,12
251996,5,72
3722183,2,4
16142191,4,17
8341567,3,16
103758,5,4
35614467,3,19
46438,2,6
6533687,0,20
13414810,3,31
6478256,3,88
8341567,0,48
26028986,5,14
25250075,0,0
25476480,2,97
17727253,1,88
18955365,5,13
18017,4,16
12392657,4,14
6324903,4,21
19015943,3,49
8167094,0,52
17569039,0,49
28644556,5,17
358489,5,20
3873328,4,19
38823844,2,12
25308876,3,17
91253,4,14
